[14:10:51.090995598] (+?.?????????) lib.eal.thread.lcore.ready: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC, cpuset = "12" }
[14:10:51.091044990] (+0.000049392) lib.eal.thread.lcore.ready: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD, cpuset = "13" }
[14:10:51.091059249] (+0.000014259) lib.eal.thread.lcore.running: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC, f = 0x5651F811F980 }
[14:10:51.091059294] (+0.000000045) lib.eal.thread.lcore.stopped: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC }
[14:10:51.091061089] (+0.000001795) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xC, rc = 0 }
[14:10:51.091064543] (+0.000003454) lib.eal.thread.lcore.running: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD, f = 0x5651F811F980 }
[14:10:51.091064590] (+0.000000047) lib.eal.thread.lcore.stopped: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD }
[14:10:51.091064739] (+0.000000149) lib.eal.thread.lcore.ready: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE, cpuset = "14" }
[14:10:51.091065672] (+0.000000933) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xD, rc = 0 }
[14:10:51.091069426] (+0.000003754) lib.eal.thread.lcore.running: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE, f = 0x5651F811F980 }
[14:10:51.091069442] (+0.000000016) lib.eal.thread.lcore.stopped: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE }
[14:10:51.091070679] (+0.000001237) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xE, rc = 0 }
[14:10:51.091090089] (+0.000019410) lib.eal.thread.lcore.ready: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF, cpuset = "15" }
[14:10:51.091091630] (+0.000001541) lib.eal.thread.lcore.running: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF, f = 0x5651F811F980 }
[14:10:51.091091645] (+0.000000015) lib.eal.thread.lcore.stopped: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF }
[14:10:51.091092966] (+0.000001321) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xF, rc = 0 }
[14:10:51.349859902] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476440 }
[14:10:51.349859910] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476440 }
[14:10:51.349859974] (+0.000000064) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476380 }
[14:10:51.349859983] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476380 }
[14:10:51.349860043] (+0.000000060) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4762C0 }
[14:10:51.349860051] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4762C0 }
[14:10:51.349860114] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476200 }
[14:10:51.349860123] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476200 }
[14:10:51.349860189] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476140 }
[14:10:51.349860197] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476140 }
[14:10:51.349860276] (+0.000000079) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476080 }
[14:10:51.349860283] (+0.000000007) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F476080 }
[14:10:51.349860347] (+0.000000064) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475FC0 }
[14:10:51.349860356] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475FC0 }
[14:10:51.349860424] (+0.000000068) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475F00 }
[14:10:51.349860432] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475F00 }
[14:10:51.349860493] (+0.000000061) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475E40 }
[14:10:51.349860504] (+0.000000011) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475E40 }
[14:10:51.349860566] (+0.000000062) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475D80 }
[14:10:51.349860575] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475D80 }
[14:10:51.349860638] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475CC0 }
[14:10:51.349860646] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475CC0 }
[14:10:51.349860709] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475C00 }
[14:10:51.349860718] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475C00 }
[14:10:51.349860779] (+0.000000061) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475B40 }
[14:10:51.349860787] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475B40 }
[14:10:51.349860849] (+0.000000062) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475A80 }
[14:10:51.349860857] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475A80 }
[14:10:51.349860920] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4759C0 }
[14:10:51.349860928] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4759C0 }
[14:10:51.349860993] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475900 }
[14:10:51.349861001] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475900 }
[14:10:51.349861068] (+0.000000067) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475840 }
[14:10:51.349861076] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475840 }
[14:10:51.349861141] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475780 }
[14:10:51.349861149] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475780 }
[14:10:51.349861240] (+0.000000091) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4756C0 }
[14:10:51.349861248] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4756C0 }
[14:10:51.349861309] (+0.000000061) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475600 }
[14:10:51.349861317] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475600 }
[14:10:51.349861382] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475540 }
[14:10:51.349861390] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475540 }
[14:10:51.349861456] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475480 }
[14:10:51.349861464] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475480 }
[14:10:51.349861527] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4753C0 }
[14:10:51.349861536] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4753C0 }
[14:10:51.349861600] (+0.000000064) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475300 }
[14:10:51.349861608] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475300 }
[14:10:51.349861671] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475240 }
[14:10:51.349861680] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475240 }
[14:10:51.349861744] (+0.000000064) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475180 }
[14:10:51.349861752] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475180 }
[14:10:51.349861817] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4750C0 }
[14:10:51.349861825] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4750C0 }
[14:10:51.349861897] (+0.000000072) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475000 }
[14:10:51.349861906] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F475000 }
[14:10:51.349861968] (+0.000000062) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474F40 }
[14:10:51.349861977] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474F40 }
[14:10:51.349862038] (+0.000000061) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474E80 }
[14:10:51.349862046] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474E80 }
[14:10:51.349862068] (+0.000000022) lib.ethdev.callback_register: { cpu_id = 0xB, name = "dpdk-testpmd" }, { port_id = 0x20, event = 7, cb_fn = 0x5651F7F0FD20, cb_arg = 0x0 }
[14:10:51.349862074] (+0.000000006) lib.ethdev.is_valid_port: { cpu_id = 0xB, name = "dpdk-testpmd" }, { port_id = 0x20, is_valid = 0 }
[14:10:51.349862147] (+0.000000073) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474DC0 }
[14:10:51.349862155] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474DC0 }
[14:10:51.349862233] (+0.000000078) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474D00 }
[14:10:51.349862241] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474D00 }
[14:10:51.349862309] (+0.000000068) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474C40 }
[14:10:51.349862316] (+0.000000007) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474C40 }
[14:10:51.349862402] (+0.000000086) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474B80 }
[14:10:51.349862412] (+0.000000010) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474B80 }
[14:10:51.349862477] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474AC0 }
[14:10:51.349862487] (+0.000000010) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474AC0 }
[14:10:51.349862553] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474A00 }
[14:10:51.349862561] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474A00 }
[14:10:51.349862645] (+0.000000084) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474940 }
[14:10:51.349862654] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474940 }
[14:10:51.349862723] (+0.000000069) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474880 }
[14:10:51.349862731] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474880 }
[14:10:51.349862794] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4747C0 }
[14:10:51.349862802] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4747C0 }
[14:10:51.349862870] (+0.000000068) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474700 }
[14:10:51.349862880] (+0.000000010) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474700 }
[14:10:51.349862942] (+0.000000062) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474640 }
[14:10:51.349862950] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474640 }
[14:10:51.349863010] (+0.000000060) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474580 }
[14:10:51.349863021] (+0.000000011) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474580 }
[14:10:51.349863087] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4744C0 }
[14:10:51.349863096] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4744C0 }
[14:10:51.349863159] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474400 }
[14:10:51.349863168] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474400 }
[14:10:51.349863234] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474340 }
[14:10:51.349863241] (+0.000000007) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474340 }
[14:10:51.349863307] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474280 }
[14:10:51.349863315] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474280 }
[14:10:51.349863384] (+0.000000069) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4741C0 }
[14:10:51.349863394] (+0.000000010) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4741C0 }
[14:10:51.349863466] (+0.000000072) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474100 }
[14:10:51.349863474] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474100 }
[14:10:51.349863550] (+0.000000076) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474040 }
[14:10:51.349863559] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F474040 }
[14:10:51.349863634] (+0.000000075) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473F80 }
[14:10:51.349863645] (+0.000000011) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473F80 }
[14:10:51.349863710] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473EC0 }
[14:10:51.349863718] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473EC0 }
[14:10:51.349863783] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473E00 }
[14:10:51.349863792] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473E00 }
[14:10:51.349863855] (+0.000000063) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473D40 }
[14:10:51.349863863] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473D40 }
[14:10:51.349863929] (+0.000000066) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473C80 }
[14:10:51.349863937] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473C80 }
[14:10:51.349864002] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473BC0 }
[14:10:51.349864010] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F473BC0 }
