0x042A4: LINKS (Link Status register)                 0x70000080
       Link Status:                                   up
       Link Speed:                                    10G
0x05080: FCTRL (Filter Control register)              0x00000400
       Broadcast Accept:                              enabled
       Unicast Promiscuous:                           disabled
       Multicast Promiscuous:                         disabled
       Store Bad Packets:                             disabled
0x04294: MFLCN (TabMAC Flow Control register)         0x0000000A
       Receive Flow Control Packets:                  enabled
       Discard Pause Frames:                          enabled
       Pass MAC Control Frames:                       disabled
       Receive Priority Flow Control Packets:         disabled
0x05088: VLNCTRL (VLAN Control register)              0x48008100
       VLAN Mode:                                     disabled
       VLAN Filter:                                   enabled
0x02100: SRRCTL0 (Split and Replic Rx Control 0)      0x02000402
       Receive Buffer Size:                           2KB
0x03D00: FCCFG (Flow Control Configuration)           0x00000008
       Transmit Flow Control:                         enabled
       Priority Flow Control:                         disabled
0x04240: HLREG0 (Highlander Control 0 register)       0x08012FFF
       Transmit CRC:                                  enabled
       Receive CRC Strip:                             enabled
       Jumbo Frames:                                  enabled
       Pad Short Frames:                              enabled
       Loopback:                                      disabled
0x01168: RXDCTL05    (Receive Descriptor Control 05)  0x42008600
0x011A8: RXDCTL06    (Receive Descriptor Control 06)  0x42008600
0x011E8: RXDCTL07    (Receive Descriptor Control 07)  0x42008600
0x01228: RXDCTL08    (Receive Descriptor Control 08)  0x42008600
0x01268: RXDCTL09    (Receive Descriptor Control 09)  0x42008600
0x012A8: RXDCTL10    (Receive Descriptor Control 10)  0x42008600
0x012E8: RXDCTL11    (Receive Descriptor Control 11)  0x42008600
0x01328: RXDCTL12    (Receive Descriptor Control 12)  0x42008600
0x01368: RXDCTL13    (Receive Descriptor Control 13)  0x42008600
0x013A8: RXDCTL14    (Receive Descriptor Control 14)  0x42008600
0x013E8: RXDCTL15    (Receive Descriptor Control 15)  0x42008600
0x01428: RXDCTL16    (Receive Descriptor Control 16)  0x42008600
0x01468: RXDCTL17    (Receive Descriptor Control 17)  0x42008600
0x014A8: RXDCTL18    (Receive Descriptor Control 18)  0x42008600
0x014E8: RXDCTL19    (Receive Descriptor Control 19)  0x42008600
0x01528: RXDCTL20    (Receive Descriptor Control 20)  0x42008600
0x01568: RXDCTL21    (Receive Descriptor Control 21)  0x42008600
0x015A8: RXDCTL22    (Receive Descriptor Control 22)  0x42008600
0x015E8: RXDCTL23    (Receive Descriptor Control 23)  0x42008600
0x01628: RXDCTL24    (Receive Descriptor Control 24)  0x00000000
0x01668: RXDCTL25    (Receive Descriptor Control 25)  0x00000000
0x016A8: RXDCTL26    (Receive Descriptor Control 26)  0x00000000
0x016E8: RXDCTL27    (Receive Descriptor Control 27)  0x00000000
0x01728: RXDCTL28    (Receive Descriptor Control 28)  0x00000000
0x01768: RXDCTL29    (Receive Descriptor Control 29)  0x00000000
0x017A8: RXDCTL30    (Receive Descriptor Control 30)  0x00000000
0x017E8: RXDCTL31    (Receive Descriptor Control 31)  0x00000000
0x01828: RXDCTL32    (Receive Descriptor Control 32)  0x00000000
0x01868: RXDCTL33    (Receive Descriptor Control 33)  0x00000000
0x018A8: RXDCTL34    (Receive Descriptor Control 34)  0x00000000
0x018E8: RXDCTL35    (Receive Descriptor Control 35)  0x00000000
0x01928: RXDCTL36    (Receive Descriptor Control 36)  0x00000000
0x01968: RXDCTL37    (Receive Descriptor Control 37)  0x00000000
0x019A8: RXDCTL38    (Receive Descriptor Control 38)  0x00000000
0x019E8: RXDCTL39    (Receive Descriptor Control 39)  0x00000000
0x01A28: RXDCTL40    (Receive Descriptor Control 40)  0x00000000
0x01A68: RXDCTL41    (Receive Descriptor Control 41)  0x00000000
0x01AA8: RXDCTL42    (Receive Descriptor Control 42)  0x00000000
0x01AE8: RXDCTL43    (Receive Descriptor Control 43)  0x00000000
0x01B28: RXDCTL44    (Receive Descriptor Control 44)  0x00000000
0x01B68: RXDCTL45    (Receive Descriptor Control 45)  0x00000000
0x01BA8: RXDCTL46    (Receive Descriptor Control 46)  0x00000000
0x01BE8: RXDCTL47    (Receive Descriptor Control 47)  0x00000000
0x01C28: RXDCTL48    (Receive Descriptor Control 48)  0x00000000
0x01C68: RXDCTL49    (Receive Descriptor Control 49)  0x00000000
0x01CA8: RXDCTL50    (Receive Descriptor Control 50)  0x00000000
0x01CE8: RXDCTL51    (Receive Descriptor Control 51)  0x00000000
0x01D28: RXDCTL52    (Receive Descriptor Control 52)  0x00000000
0x01D68: RXDCTL53    (Receive Descriptor Control 53)  0x00000000
0x01DA8: RXDCTL54    (Receive Descriptor Control 54)  0x00000000
0x01DE8: RXDCTL55    (Receive Descriptor Control 55)  0x00000000
0x01E28: RXDCTL56    (Receive Descriptor Control 56)  0x00000000
0x01E68: RXDCTL57    (Receive Descriptor Control 57)  0x00000000
0x01EA8: RXDCTL58    (Receive Descriptor Control 58)  0x00000000
0x01EE8: RXDCTL59    (Receive Descriptor Control 59)  0x00000000
0x01F28: RXDCTL60    (Receive Descriptor Control 60)  0x00000000
0x01F68: RXDCTL61    (Receive Descriptor Control 61)  0x00000000
0x01FA8: RXDCTL62    (Receive Descriptor Control 62)  0x00000000
0x01FE8: RXDCTL63    (Receive Descriptor Control 63)  0x00000000
0x02100: SRRCTL00    (Split and Replic Rx Control 00) 0x02000402
0x02104: SRRCTL01    (Split and Replic Rx Control 01) 0x02000402
0x02108: SRRCTL02    (Split and Replic Rx Control 02) 0x02000402
0x0210C: SRRCTL03    (Split and Replic Rx Control 03) 0x02000402
0x02110: SRRCTL04    (Split and Replic Rx Control 04) 0x02000402
0x02114: SRRCTL05    (Split and Replic Rx Control 05) 0x02000402
0x02118: SRRCTL06    (Split and Replic Rx Control 06) 0x02000402
0x0211C: SRRCTL07    (Split and Replic Rx Control 07) 0x02000402
0x02120: SRRCTL08    (Split and Replic Rx Control 08) 0x02000402
0x02124: SRRCTL09    (Split and Replic Rx Control 09) 0x02000402
0x02128: SRRCTL10    (Split and Replic Rx Control 10) 0x02000402
0x0212C: SRRCTL11    (Split and Replic Rx Control 11) 0x02000402
0x02130: SRRCTL12    (Split and Replic Rx Control 12) 0x02000402
0x02134: SRRCTL13    (Split and Replic Rx Control 13) 0x02000402
0x02138: SRRCTL14    (Split and Replic Rx Control 14) 0x02000402
0x0213C: SRRCTL15    (Split and Replic Rx Control 15) 0x02000402
0x02200: DCA_RXCTRL00 (Rx DCA Control 00)             0x0000A200
0x02204: DCA_RXCTRL01 (Rx DCA Control 01)             0x0000A200
0x02208: DCA_RXCTRL02 (Rx DCA Control 02)             0x0000A200
0x0220C: DCA_RXCTRL03 (Rx DCA Control 03)             0x0000A200
0x02210: DCA_RXCTRL04 (Rx DCA Control 04)             0x0000A200
0x02214: DCA_RXCTRL05 (Rx DCA Control 05)             0x0000A200
0x02218: DCA_RXCTRL06 (Rx DCA Control 06)             0x0000A200
0x0221C: DCA_RXCTRL07 (Rx DCA Control 07)             0x0000A200
0x02220: DCA_RXCTRL08 (Rx DCA Control 08)             0x0000A200
0x02224: DCA_RXCTRL09 (Rx DCA Control 09)             0x0000A200
0x02228: DCA_RXCTRL10 (Rx DCA Control 10)             0x0000A200
0x0222C: DCA_RXCTRL11 (Rx DCA Control 11)             0x0000A200
0x02230: DCA_RXCTRL12 (Rx DCA Control 12)             0x0000A200
0x02234: DCA_RXCTRL13 (Rx DCA Control 13)             0x0000A200
0x02238: DCA_RXCTRL14 (Rx DCA Control 14)             0x0000A200
0x0223C: DCA_RXCTRL15 (Rx DCA Control 15)             0x0000A200
0x02F00: RDRXCTL     (Receive DMA Control)            0x0600880A
0x03C00: RXPBSIZE0   (Receive Packet Buffer Size 0)   0x00050000
0x03C04: RXPBSIZE1   (Receive Packet Buffer Size 1)   0x00000000
0x03C08: RXPBSIZE2   (Receive Packet Buffer Size 2)   0x00000000
0x03C0C: RXPBSIZE3   (Receive Packet Buffer Size 3)   0x00000000
0x03C10: RXPBSIZE4   (Receive Packet Buffer Size 4)   0x00000000
0x03C14: RXPBSIZE5   (Receive Packet Buffer Size 5)   0x00000000
0x03C18: RXPBSIZE6   (Receive Packet Buffer Size 6)   0x00000000
0x03C1C: RXPBSIZE7   (Receive Packet Buffer Size 7)   0x00000000
0x03000: RXCTRL      (Receive Control)                0x00000001
0x05000: RXCSUM      (Receive Checksum Control)       0x00002000
0x05008: RFCTL       (Receive Filter Control)         0x000000E0
0x05400: RAL00       (Receive Address Low00)          0x63B4699C
0x05408: RAL01       (Receive Address Low01)          0x00000000
0x05410: RAL02       (Receive Address Low02)          0x00000000
0x05418: RAL03       (Receive Address Low03)          0x00000000
0x05420: RAL04       (Receive Address Low04)          0x00000000
0x05428: RAL05       (Receive Address Low05)          0x00000000
0x05430: RAL06       (Receive Address Low06)          0x00000000
0x05438: RAL07       (Receive Address Low07)          0x00000000
0x05440: RAL08       (Receive Address Low08)          0x00000000
0x05448: RAL09       (Receive Address Low09)          0x00000000
0x05450: RAL10       (Receive Address Low10)          0x00000000
0x05458: RAL11       (Receive Address Low11)          0x00000000
0x05460: RAL12       (Receive Address Low12)          0x00000000
0x05468: RAL13       (Receive Address Low13)          0x00000000
0x05470: RAL14       (Receive Address Low14)          0x00000000
0x05478: RAL15       (Receive Address Low15)          0x00000000
0x05404: RAH00       (Receive Address High 00)        0x8000CA73
0x0540C: RAH01       (Receive Address High 01)        0x00000000
0x05414: RAH02       (Receive Address High 02)        0x00000000
0x0541C: RAH03       (Receive Address High 03)        0x00000000
0x05424: RAH04       (Receive Address High 04)        0x00000000
0x0542C: RAH05       (Receive Address High 05)        0x00000000
0x05434: RAH06       (Receive Address High 06)        0x00000000
0x0543C: RAH07       (Receive Address High 07)        0x00000000
0x05444: RAH08       (Receive Address High 08)        0x00000000
0x0544C: RAH09       (Receive Address High 09)        0x00000000
0x05454: RAH10       (Receive Address High 10)        0x00000000
0x0545C: RAH11       (Receive Address High 11)        0x00000000
0x05464: RAH12       (Receive Address High 12)        0x00000000
0x0546C: RAH13       (Receive Address High 13)        0x00000000
0x05474: RAH14       (Receive Address High 14)        0x00000000
0x0547C: RAH15       (Receive Address High 15)        0x00000000
0x05480: PSRTYPE     (Packet Split Receive Type)      0x40001330
0x05090: MCSTCTRL    (Multicast Control)              0x00000004
0x05818: MRQC        (Multiple Rx Queues Command)     0x00330001
0x0581C: VMD_CTL     (VMDq Control)                   0x00000000
0x05A80: IMIR0       (Immediate Interrupt Rx 0)       0x00000000
0x05A84: IMIR1       (Immediate Interrupt Rx 1)       0x00000000
0x05A88: IMIR2       (Immediate Interrupt Rx 2)       0x00000000
0x05A8C: IMIR3       (Immediate Interrupt Rx 3)       0x00000000
0x05A90: IMIR4       (Immediate Interrupt Rx 4)       0x00000000
0x05A94: IMIR5       (Immediate Interrupt Rx 5)       0x00000000
0x05A98: IMIR6       (Immediate Interrupt Rx 6)       0x00000000
0x05A9C: IMIR7       (Immediate Interrupt Rx 7)       0x00000000
0x05AA0: IMIREXT0    (Immed. Interr. Rx Extended 0)   0x00000000
0x05AA4: IMIREXT1    (Immed. Interr. Rx Extended 1)   0x00000000
0x05AA8: IMIREXT2    (Immed. Interr. Rx Extended 2)   0x00000000
0x05AAC: IMIREXT3    (Immed. Interr. Rx Extended 3)   0x00000000
0x05AB0: IMIREXT4    (Immed. Interr. Rx Extended 4)   0x00000000
0x05AB4: IMIREXT5    (Immed. Interr. Rx Extended 5)   0x00000000
0x05AB8: IMIREXT6    (Immed. Interr. Rx Extended 6)   0x00000000
0x05ABC: IMIREXT7    (Immed. Interr. Rx Extended 7)   0x00000000
0x05AC0: IMIRVP      (Immed. Interr. Rx VLAN Prior.)  0xDEADBEEF
0x06000: TDBAL00     (Tx Desc Base Addr Low 00)       0x7534C000
0x06040: TDBAL01     (Tx Desc Base Addr Low 01)       0x78476000
0x06080: TDBAL02     (Tx Desc Base Addr Low 02)       0x751CA000
0x060C0: TDBAL03     (Tx Desc Base Addr Low 03)       0x75104000
0x06100: TDBAL04     (Tx Desc Base Addr Low 04)       0x74B6C000
0x06140: TDBAL05     (Tx Desc Base Addr Low 05)       0x4CF24000
0x06180: TDBAL06     (Tx Desc Base Addr Low 06)       0x3A8CA000
0x061C0: TDBAL07     (Tx Desc Base Addr Low 07)       0x76612000
0x06200: TDBAL08     (Tx Desc Base Addr Low 08)       0x4D424000
0x06240: TDBAL09     (Tx Desc Base Addr Low 09)       0x52EF4000
0x06280: TDBAL10     (Tx Desc Base Addr Low 10)       0x07074000
0x062C0: TDBAL11     (Tx Desc Base Addr Low 11)       0x7A0AE000
0x06300: TDBAL12     (Tx Desc Base Addr Low 12)       0xB69DC000
0x06340: TDBAL13     (Tx Desc Base Addr Low 13)       0x78A0A000
0x06380: TDBAL14     (Tx Desc Base Addr Low 14)       0x19350000
0x063C0: TDBAL15     (Tx Desc Base Addr Low 15)       0x28BE4000
0x06400: TDBAL16     (Tx Desc Base Addr Low 16)       0x77D4C000
0x06440: TDBAL17     (Tx Desc Base Addr Low 17)       0x081FA000
0x06480: TDBAL18     (Tx Desc Base Addr Low 18)       0x4D722000
0x064C0: TDBAL19     (Tx Desc Base Addr Low 19)       0x0559C000
0x06500: TDBAL20     (Tx Desc Base Addr Low 20)       0x753FE000
0x06540: TDBAL21     (Tx Desc Base Addr Low 21)       0x4A022000
0x06580: TDBAL22     (Tx Desc Base Addr Low 22)       0xCA826000
0x065C0: TDBAL23     (Tx Desc Base Addr Low 23)       0xCA828000
0x06600: TDBAL24     (Tx Desc Base Addr Low 24)       0x00000000
0x06640: TDBAL25     (Tx Desc Base Addr Low 25)       0x00000000
0x06680: TDBAL26     (Tx Desc Base Addr Low 26)       0x00000000
0x066C0: TDBAL27     (Tx Desc Base Addr Low 27)       0x00000000
0x06700: TDBAL28     (Tx Desc Base Addr Low 28)       0x00000000
0x06740: TDBAL29     (Tx Desc Base Addr Low 29)       0x00000000
0x06780: TDBAL30     (Tx Desc Base Addr Low 30)       0x00000000
0x067C0: TDBAL31     (Tx Desc Base Addr Low 31)       0x00000000
0x06004: TDBAH00     (Tx Desc Base Addr High 00)      0x00000001
0x06044: TDBAH01     (Tx Desc Base Addr High 01)      0x00000001
0x06084: TDBAH02     (Tx Desc Base Addr High 02)      0x00000001
0x060C4: TDBAH03     (Tx Desc Base Addr High 03)      0x00000001
0x06104: TDBAH04     (Tx Desc Base Addr High 04)      0x00000001
0x06144: TDBAH05     (Tx Desc Base Addr High 05)      0x00000001
0x06184: TDBAH06     (Tx Desc Base Addr High 06)      0x00000001
0x061C4: TDBAH07     (Tx Desc Base Addr High 07)      0x00000001
0x06204: TDBAH08     (Tx Desc Base Addr High 08)      0x00000001
0x06244: TDBAH09     (Tx Desc Base Addr High 09)      0x00000001
0x06284: TDBAH10     (Tx Desc Base Addr High 10)      0x00000001
0x062C4: TDBAH11     (Tx Desc Base Addr High 11)      0x00000001
0x06304: TDBAH12     (Tx Desc Base Addr High 12)      0x00000001
0x06344: TDBAH13     (Tx Desc Base Addr High 13)      0x00000001
0x06384: TDBAH14     (Tx Desc Base Addr High 14)      0x00000001
0x063C4: TDBAH15     (Tx Desc Base Addr High 15)      0x00000001
0x06404: TDBAH16     (Tx Desc Base Addr High 16)      0x00000001
0x06444: TDBAH17     (Tx Desc Base Addr High 17)      0x00000001
0x06484: TDBAH18     (Tx Desc Base Addr High 18)      0x00000001
0x064C4: TDBAH19     (Tx Desc Base Addr High 19)      0x00000001
0x06504: TDBAH20     (Tx Desc Base Addr High 20)      0x00000001
0x06544: TDBAH21     (Tx Desc Base Addr High 21)      0x00000001
0x06584: TDBAH22     (Tx Desc Base Addr High 22)      0x00000002
0x065C4: TDBAH23     (Tx Desc Base Addr High 23)      0x00000002
0x06604: TDBAH24     (Tx Desc Base Addr High 24)      0x00000000
0x06644: TDBAH25     (Tx Desc Base Addr High 25)      0x00000000
0x06684: TDBAH26     (Tx Desc Base Addr High 26)      0x00000000
0x066C4: TDBAH27     (Tx Desc Base Addr High 27)      0x00000000
0x06704: TDBAH28     (Tx Desc Base Addr High 28)      0x00000000
0x06744: TDBAH29     (Tx Desc Base Addr High 29)      0x00000000
0x06784: TDBAH30     (Tx Desc Base Addr High 30)      0x00000000
0x067C4: TDBAH31     (Tx Desc Base Addr High 31)      0x00000000
0x06008: TDLEN00     (Tx Descriptor Length 00)        0x00002000
0x06048: TDLEN01     (Tx Descriptor Length 01)        0x00002000
0x06088: TDLEN02     (Tx Descriptor Length 02)        0x00002000
0x060C8: TDLEN03     (Tx Descriptor Length 03)        0x00002000
0x06108: TDLEN04     (Tx Descriptor Length 04)        0x00002000
0x06148: TDLEN05     (Tx Descriptor Length 05)        0x00002000
0x06188: TDLEN06     (Tx Descriptor Length 06)        0x00002000
0x061C8: TDLEN07     (Tx Descriptor Length 07)        0x00002000
0x06208: TDLEN08     (Tx Descriptor Length 08)        0x00002000
0x06248: TDLEN09     (Tx Descriptor Length 09)        0x00002000
0x06288: TDLEN10     (Tx Descriptor Length 10)        0x00002000
0x062C8: TDLEN11     (Tx Descriptor Length 11)        0x00002000
0x06308: TDLEN12     (Tx Descriptor Length 12)        0x00002000
0x06348: TDLEN13     (Tx Descriptor Length 13)        0x00002000
0x06388: TDLEN14     (Tx Descriptor Length 14)        0x00002000
0x063C8: TDLEN15     (Tx Descriptor Length 15)        0x00002000
0x06408: TDLEN16     (Tx Descriptor Length 16)        0x00002000
0x06448: TDLEN17     (Tx Descriptor Length 17)        0x00002000
0x06488: TDLEN18     (Tx Descriptor Length 18)        0x00002000
0x064C8: TDLEN19     (Tx Descriptor Length 19)        0x00002000
0x06508: TDLEN20     (Tx Descriptor Length 20)        0x00002000
0x06548: TDLEN21     (Tx Descriptor Length 21)        0x00002000
0x06588: TDLEN22     (Tx Descriptor Length 22)        0x00002000
0x065C8: TDLEN23     (Tx Descriptor Length 23)        0x00002000
0x06608: TDLEN24     (Tx Descriptor Length 24)        0x00000000
0x06648: TDLEN25     (Tx Descriptor Length 25)        0x00000000
0x06688: TDLEN26     (Tx Descriptor Length 26)        0x00000000
0x066C8: TDLEN27     (Tx Descriptor Length 27)        0x00000000
0x06708: TDLEN28     (Tx Descriptor Length 28)        0x00000000
0x06748: TDLEN29     (Tx Descriptor Length 29)        0x00000000
0x06788: TDLEN30     (Tx Descriptor Length 30)        0x00000000
0x067C8: TDLEN31     (Tx Descriptor Length 31)        0x00000000
0x06010: TDH00       (Transmit Descriptor Head 00)    0x00000003
0x06050: TDH01       (Transmit Descriptor Head 01)    0x0000000F
0x06090: TDH02       (Transmit Descriptor Head 02)    0x00000024
0x060D0: TDH03       (Transmit Descriptor Head 03)    0x00000026
0x06110: TDH04       (Transmit Descriptor Head 04)    0x00000055
0x06150: TDH05       (Transmit Descriptor Head 05)    0x0000000C
0x06190: TDH06       (Transmit Descriptor Head 06)    0x00000025
0x061D0: TDH07       (Transmit Descriptor Head 07)    0x00000031
0x06210: TDH08       (Transmit Descriptor Head 08)    0x00000000
0x06250: TDH09       (Transmit Descriptor Head 09)    0x00000000
0x06290: TDH10       (Transmit Descriptor Head 10)    0x00000000
0x062D0: TDH11       (Transmit Descriptor Head 11)    0x00000000
0x06310: TDH12       (Transmit Descriptor Head 12)    0x00000000
0x06350: TDH13       (Transmit Descriptor Head 13)    0x00000000
0x06390: TDH14       (Transmit Descriptor Head 14)    0x00000000
0x063D0: TDH15       (Transmit Descriptor Head 15)    0x00000000
0x06410: TDH16       (Transmit Descriptor Head 16)    0x00000014
0x06450: TDH17       (Transmit Descriptor Head 17)    0x00000044
0x06490: TDH18       (Transmit Descriptor Head 18)    0x0000000C
0x064D0: TDH19       (Transmit Descriptor Head 19)    0x00000029
0x06510: TDH20       (Transmit Descriptor Head 20)    0x00000000
0x06550: TDH21       (Transmit Descriptor Head 21)    0x00000000
0x06590: TDH22       (Transmit Descriptor Head 22)    0x00000002
0x065D0: TDH23       (Transmit Descriptor Head 23)    0x0000001C
0x06610: TDH24       (Transmit Descriptor Head 24)    0x00000000
0x06650: TDH25       (Transmit Descriptor Head 25)    0x00000000
0x06690: TDH26       (Transmit Descriptor Head 26)    0x00000000
0x066D0: TDH27       (Transmit Descriptor Head 27)    0x00000000
0x06710: TDH28       (Transmit Descriptor Head 28)    0x00000000
0x06750: TDH29       (Transmit Descriptor Head 29)    0x00000000
0x06790: TDH30       (Transmit Descriptor Head 30)    0x00000000
0x067D0: TDH31       (Transmit Descriptor Head 31)    0x00000000
0x06018: TDT00       (Transmit Descriptor Tail 00)    0x00000003
0x06058: TDT01       (Transmit Descriptor Tail 01)    0x0000000F
0x06098: TDT02       (Transmit Descriptor Tail 02)    0x00000024
0x060D8: TDT03       (Transmit Descriptor Tail 03)    0x00000026
0x06118: TDT04       (Transmit Descriptor Tail 04)    0x00000055
0x06158: TDT05       (Transmit Descriptor Tail 05)    0x0000000C
0x06198: TDT06       (Transmit Descriptor Tail 06)    0x00000025
0x061D8: TDT07       (Transmit Descriptor Tail 07)    0x00000031
0x06218: TDT08       (Transmit Descriptor Tail 08)    0x00000000
0x06258: TDT09       (Transmit Descriptor Tail 09)    0x00000000
0x06298: TDT10       (Transmit Descriptor Tail 10)    0x00000000
0x062D8: TDT11       (Transmit Descriptor Tail 11)    0x00000000
0x06318: TDT12       (Transmit Descriptor Tail 12)    0x00000000
0x06358: TDT13       (Transmit Descriptor Tail 13)    0x00000000
0x06398: TDT14       (Transmit Descriptor Tail 14)    0x00000000
0x063D8: TDT15       (Transmit Descriptor Tail 15)    0x00000000
0x06418: TDT16       (Transmit Descriptor Tail 16)    0x00000014
0x06458: TDT17       (Transmit Descriptor Tail 17)    0x00000044
0x06498: TDT18       (Transmit Descriptor Tail 18)    0x0000000C
0x064D8: TDT19       (Transmit Descriptor Tail 19)    0x00000029
0x06518: TDT20       (Transmit Descriptor Tail 20)    0x00000000
0x06558: TDT21       (Transmit Descriptor Tail 21)    0x00000000
0x06598: TDT22       (Transmit Descriptor Tail 22)    0x00000002
0x065D8: TDT23       (Transmit Descriptor Tail 23)    0x0000001C
0x06618: TDT24       (Transmit Descriptor Tail 24)    0x00000000
0x06658: TDT25       (Transmit Descriptor Tail 25)    0x00000000
0x06698: TDT26       (Transmit Descriptor Tail 26)    0x00000000
0x066D8: TDT27       (Transmit Descriptor Tail 27)    0x00000000
0x06718: TDT28       (Transmit Descriptor Tail 28)    0x00000000
0x06758: TDT29       (Transmit Descriptor Tail 29)    0x00000000
0x06798: TDT30       (Transmit Descriptor Tail 30)    0x00000000
0x067D8: TDT31       (Transmit Descriptor Tail 31)    0x00000000
0x06028: TXDCTL00    (Tx Descriptor Control 00)       0x02080120
0x06068: TXDCTL01    (Tx Descriptor Control 01)       0x02080120
0x060A8: TXDCTL02    (Tx Descriptor Control 02)       0x02080120
0x060E8: TXDCTL03    (Tx Descriptor Control 03)       0x02080120
0x06128: TXDCTL04    (Tx Descriptor Control 04)       0x02080120
0x06168: TXDCTL05    (Tx Descriptor Control 05)       0x02080120
0x061A8: TXDCTL06    (Tx Descriptor Control 06)       0x02080120
0x061E8: TXDCTL07    (Tx Descriptor Control 07)       0x02080120
0x06228: TXDCTL08    (Tx Descriptor Control 08)       0x02080120
0x06268: TXDCTL09    (Tx Descriptor Control 09)       0x02080120
0x062A8: TXDCTL10    (Tx Descriptor Control 10)       0x02080120
0x062E8: TXDCTL11    (Tx Descriptor Control 11)       0x02080120
0x06328: TXDCTL12    (Tx Descriptor Control 12)       0x02080120
0x06368: TXDCTL13    (Tx Descriptor Control 13)       0x02080120
0x063A8: TXDCTL14    (Tx Descriptor Control 14)       0x02080120
0x063E8: TXDCTL15    (Tx Descriptor Control 15)       0x02080120
0x06428: TXDCTL16    (Tx Descriptor Control 16)       0x02080120
0x06468: TXDCTL17    (Tx Descriptor Control 17)       0x02080120
0x064A8: TXDCTL18    (Tx Descriptor Control 18)       0x02080120
0x064E8: TXDCTL19    (Tx Descriptor Control 19)       0x02080120
0x06528: TXDCTL20    (Tx Descriptor Control 20)       0x02080120
0x06568: TXDCTL21    (Tx Descriptor Control 21)       0x02080120
0x065A8: TXDCTL22    (Tx Descriptor Control 22)       0x02080120
0x065E8: TXDCTL23    (Tx Descriptor Control 23)       0x02080120
0x06628: TXDCTL24    (Tx Descriptor Control 24)       0x00000000
0x06668: TXDCTL25    (Tx Descriptor Control 25)       0x00000000
0x066A8: TXDCTL26    (Tx Descriptor Control 26)       0x00000000
0x066E8: TXDCTL27    (Tx Descriptor Control 27)       0x00000000
0x06728: TXDCTL28    (Tx Descriptor Control 28)       0x00000000
0x06768: TXDCTL29    (Tx Descriptor Control 29)       0x00000000
0x067A8: TXDCTL30    (Tx Descriptor Control 30)       0x00000000
0x067E8: TXDCTL31    (Tx Descriptor Control 31)       0x00000000
0x06038: TDWBAL00    (Tx Desc Compl. WB Addr low 00)  0x00000000
0x06078: TDWBAL01    (Tx Desc Compl. WB Addr low 01)  0x00000000
0x060B8: TDWBAL02    (Tx Desc Compl. WB Addr low 02)  0x00000000
0x060F8: TDWBAL03    (Tx Desc Compl. WB Addr low 03)  0x00000000
0x06138: TDWBAL04    (Tx Desc Compl. WB Addr low 04)  0x00000000
0x06178: TDWBAL05    (Tx Desc Compl. WB Addr low 05)  0x00000000
0x061B8: TDWBAL06    (Tx Desc Compl. WB Addr low 06)  0x00000000
0x061F8: TDWBAL07    (Tx Desc Compl. WB Addr low 07)  0x00000000
0x06238: TDWBAL08    (Tx Desc Compl. WB Addr low 08)  0x00000000
0x06278: TDWBAL09    (Tx Desc Compl. WB Addr low 09)  0x00000000
0x062B8: TDWBAL10    (Tx Desc Compl. WB Addr low 10)  0x00000000
0x062F8: TDWBAL11    (Tx Desc Compl. WB Addr low 11)  0x00000000
0x06338: TDWBAL12    (Tx Desc Compl. WB Addr low 12)  0x00000000
0x06378: TDWBAL13    (Tx Desc Compl. WB Addr low 13)  0x00000000
0x063B8: TDWBAL14    (Tx Desc Compl. WB Addr low 14)  0x00000000
0x063F8: TDWBAL15    (Tx Desc Compl. WB Addr low 15)  0x00000000
0x06438: TDWBAL16    (Tx Desc Compl. WB Addr low 16)  0x00000000
0x06478: TDWBAL17    (Tx Desc Compl. WB Addr low 17)  0x00000000
0x064B8: TDWBAL18    (Tx Desc Compl. WB Addr low 18)  0x00000000
0x064F8: TDWBAL19    (Tx Desc Compl. WB Addr low 19)  0x00000000
0x06538: TDWBAL20    (Tx Desc Compl. WB Addr low 20)  0x00000000
0x06578: TDWBAL21    (Tx Desc Compl. WB Addr low 21)  0x00000000
0x065B8: TDWBAL22    (Tx Desc Compl. WB Addr low 22)  0x00000000
0x065F8: TDWBAL23    (Tx Desc Compl. WB Addr low 23)  0x00000000
0x06638: TDWBAL24    (Tx Desc Compl. WB Addr low 24)  0x00000000
0x06678: TDWBAL25    (Tx Desc Compl. WB Addr low 25)  0x00000000
0x066B8: TDWBAL26    (Tx Desc Compl. WB Addr low 26)  0x00000000
0x066F8: TDWBAL27    (Tx Desc Compl. WB Addr low 27)  0x00000000
0x06738: TDWBAL28    (Tx Desc Compl. WB Addr low 28)  0x00000000
0x06778: TDWBAL29    (Tx Desc Compl. WB Addr low 29)  0x00000000
0x067B8: TDWBAL30    (Tx Desc Compl. WB Addr low 30)  0x00000000
0x067F8: TDWBAL31    (Tx Desc Compl. WB Addr low 31)  0x00000000
0x0603C: TDWBAH00    (Tx Desc Compl. WB Addr High 00) 0x00000000
0x0607C: TDWBAH01    (Tx Desc Compl. WB Addr High 01) 0x00000000
0x060BC: TDWBAH02    (Tx Desc Compl. WB Addr High 02) 0x00000000
0x060FC: TDWBAH03    (Tx Desc Compl. WB Addr High 03) 0x00000000
0x0613C: TDWBAH04    (Tx Desc Compl. WB Addr High 04) 0x00000000
0x0617C: TDWBAH05    (Tx Desc Compl. WB Addr High 05) 0x00000000
